index,sample_name,faith_pd,sample_id
218,10317.000017641.3018,16.022270000000002,17641
219,10317.000074531.41931,16.63798,74531
220,10317.000099033.56187,19.00419,99033
221,10317.000039665.25862,21.31042,39665
222,10317.000004039.2948,5.8150200000000005,4039
223,10317.000001886.2948,16.63214,1886
224,10317.000014978.2917,19.298370000000002,14978
225,10317.000015044.2988,19.189120000000003,15044
226,10317.000053364.26531,8.566860000000002,53364
227,10317.000010120.2932,15.49593,10120
228,10317.000001705.2948,15.544410000000001,1705
229,10317.000070820.50470,15.550190000000002,70820
230,10317.000003549.2907,12.58161,3549
231,10317.000053326.7852,17.82526,53326
232,10317.000039656.25862,15.762299999999998,39656
233,10317.000099078.54638,12.19663,99078
234,10317.000073257.50470,7.881579999999999,73257
235,10317.000072024.33800,12.49475,72024
236,10317.000079371.41931,11.701069999999998,79371
237,10317.000022002.2988,7.983789999999999,22002
238,10317.000023839.4021,4.030329999999998,23839
239,10317.000068492.31503,12.567329999999998,68492
240,10317.000097755.56079,14.19904,97755
241,10317.000087625.45578,11.47051,87625
242,10317.000017095.3020,15.432399999999998,17095
243,10317.000089994.53379,9.703510000000001,89994
244,10317.000030612.4016,10.97167,30612
245,10317.000037576.3099,15.728980000000002,37576
246,10317.000007796.2926,15.57219,7796
247,10317.000026555.3022,18.66075,26555
248,10317.000086643.51570,20.895670000000003,86643
249,10317.000087017.45578,13.44186,87017
250,10317.000096826.62401,4.25021,96826
251,10317.000021999.25370,9.70074,21999
252,10317.000079052.48742,10.52418,79052
253,10317.000053496.7852,16.250059999999998,53496
254,10317.000096866.62401,3.81717,96866
255,10317.000014320.2917,15.762539999999998,14320
256,10317.000039523.25498,22.47746,39523
257,10317.000017671.3099,11.15956,17671
258,10317.000069034.26480,16.436919999999994,69034
259,10317.000041070.3080,16.45205,41070
260,10317.000005567.2905,4.171669999999999,5567
261,10317.000072043.33800,4.26842,72043
262,10317.000065715.31503,19.0555,65715
263,10317.000070207.30606,14.028059999999995,70207
264,10317.000086584.51570,19.47777,86584
265,10317.000029570.25370,12.50342,29570
266,10317.000076005.56079,11.28991,76005
267,10317.000058940.25862,13.81306,58940
268,10317.000023550.30606,12.61553,23550
269,10317.000014165.2913,12.00685,14165
270,10317.000042710.25501,22.9203,42710
271,10317.000030684.3516,16.901829999999997,30684
272,10317.000049929.25853,12.7297,49929
273,10317.000013731.2917,9.3172,13731
274,10317.000066755.31503,11.177559999999998,66755
275,10317.000047491.26478,23.64697,47491
276,10317.000046577.4033,11.551470000000002,46577
277,10317.000003300.2948,11.17458,3300
278,10317.000014407.3018,10.76073,14407
279,10317.000013801.2911,15.484589999999995,13801
280,10317.000051047.46739,7.753710000000001,51047
281,10317.000029493.2982,11.78927,29493
282,10317.000100524.62401,16.025299999999998,100524
283,10317.000084428.52698,9.955749999999998,84428
284,10317.000039639.25853,16.045099999999998,39639
285,10317.000087036.45578,14.376359999999998,87036
286,10317.000017076.3020,14.27588,17076
287,10317.000022033.2988,17.631339999999998,22033
288,10317.000029153.3020,11.376459999999998,29153
289,10317.000016488.2919,11.97756,16488
290,10317.000097058.62401,4.612119999999999,97058
291,10317.000006800.2905,19.90472,6800
292,10317.000028902.4583,11.93627,28902
293,10317.000005965.2905,14.884390000000002,5965
294,10317.000012505.32954,11.12236,12505
295,10317.000004286.2909,15.51416,4286
296,10317.000103909.62401,12.134150000000002,103909
297,10317.000030109.2982,17.64075,30109
298,10317.000028843.3020,11.12172,28843
299,10317.000047736.7852,19.09569,47736
300,10317.000054197.7852,15.4583,54197
301,10317.000089512.48742,17.743180000000006,89512
302,10317.000093572.56079,15.31906,93572
303,10317.000089987.51570,11.82501,89987
304,10317.000043144.25853,8.243039999999999,43144
305,10317.000020084.2988,10.842959999999998,20084
306,10317.000068298.25862,14.81894,68298
307,10317.000002519.3020,19.73589,2519
308,10317.000033543.42299,9.59608,33543
309,10317.000029473.3022,14.4722,29473
310,10317.000068854.26480,16.793229999999998,68854
311,10317.000067005.45578,13.903070000000001,67005
312,10317.000072329.42298,8.63497,72329
313,10317.000037504.4016,9.87304,37504
314,10317.000049840.4491,9.41108,49840
315,10317.000001593.2948,4.679790000000001,1593
316,10317.000015901.2926,11.371799999999995,15901
317,10317.000036882.3098,12.422139999999999,36882
318,10317.000001887.2946,17.15385,1887
319,10317.000043141.25862,17.4053,43141
320,10317.000015548.2988,14.50251,15548
321,10317.000074319.41931,20.79136,74319
322,10317.000068129.26479,15.506110000000001,68129
323,10317.000015151.2919,12.060000000000002,15151
324,10317.000068420.41931,12.59762,68420
325,10317.000047145.4491,7.1237,47145
326,10317.000038379.3098,15.015619999999998,38379
327,10317.000065694.25862,16.111819999999998,65694
328,10317.000090114.52698,9.14865,90114
329,10317.000037611.3516,13.715659999999998,37611
330,10317.000050951.46739,13.90492,50951
