	faith_pd
10317.000084402.45578	18.70555
10317.000063290.26480	8.04843
10317.000068486.56079	21.57419
10317.000090080.51570	10.835240000000002
10317.000032656.25370	18.868119999999998
10317.000041617.3516	19.54232
10317.000068698.42298	19.53527
10317.000068037.26479	16.392339999999997
10317.000026619.3018	13.168149999999999
10317.000075904.51570	14.903230000000002
10317.000020356.2988	9.56067
10317.000027651.25370	16.61737
10317.000035778.51570	10.240169999999999
10317.000015652.32954	15.59503
10317.000030729.26478	7.630739999999999
10317.000046331.26531	16.90689
10317.000014933.2921	9.187399999999998
10317.000093575.53379	19.203670000000002
10317.000010416.26483	11.71084
10317.000023141.26478	11.6405
10317.000023475.3018	18.23373
10317.000020802.3022	14.656130000000001
10317.000067935.26479	17.6756
10317.000028452.25370	11.648279999999998
10317.000101081.56187	12.461469999999998
10317.000015632.2923	20.53073
10317.000027353.3022	22.029069999999997
10317.000066580.31503	18.9072
10317.000014873.2917	8.062489999999999
10317.000017641.3018	16.02227
10317.000074531.41931	16.63798
10317.000099033.56187	19.004189999999998
10317.000039665.25862	21.310419999999997
10317.000004039.2948	5.8150200000000005
10317.000001886.2948	16.63214
10317.000014978.2917	19.29837
10317.000015044.2988	19.18912
10317.000053364.26531	8.566860000000002
10317.000010120.2932	15.49593
10317.000001705.2948	15.54441
10317.000070820.50470	15.550190000000002
10317.000003549.2907	12.581610000000001
10317.000053326.7852	17.82526
10317.000039656.25862	15.762299999999998
10317.000099078.54638	12.196629999999999
10317.000073257.50470	7.881579999999999
10317.000072024.33800	12.49475
10317.000079371.41931	11.701069999999998
10317.000022002.2988	7.98379
10317.000023839.4021	4.030329999999999
10317.000068492.31503	12.567329999999998
10317.000097755.56079	14.19904
10317.000087625.45578	11.47051
10317.000017095.3020	15.432399999999998
10317.000089994.53379	9.70351
10317.000030612.4016	10.971670000000001
10317.000037576.3099	15.728980000000002
10317.000007796.2926	15.572189999999999
10317.000026555.3022	18.66075
10317.000086643.51570	20.89567
10317.000087017.45578	13.44186
10317.000096826.62401	4.25021
10317.000021999.25370	9.70074
10317.000079052.48742	10.524180000000001
10317.000053496.7852	16.250059999999998
10317.000096866.62401	3.8171700000000004
10317.000014320.2917	15.762539999999998
10317.000039523.25498	22.47746
10317.000017671.3099	11.15956
10317.000069034.26480	16.436919999999997
10317.000041070.3080	16.45205
10317.000005567.2905	4.171669999999999
10317.000072043.33800	4.26842
10317.000065715.31503	19.055500000000002
10317.000070207.30606	14.028059999999996
10317.000086584.51570	19.47777
10317.000029570.25370	12.50342
10317.000076005.56079	11.289909999999999
10317.000058940.25862	13.81306
10317.000023550.30606	12.61553
10317.000014165.2913	12.00685
10317.000042710.25501	22.920299999999997
10317.000030684.3516	16.901829999999997
10317.000049929.25853	12.7297
10317.000013731.2917	9.3172
10317.000066755.31503	11.177559999999998
10317.000047491.26478	23.64697
10317.000046577.4033	11.551470000000002
10317.000003300.2948	11.17458
10317.000014407.3018	10.760729999999999
10317.000013801.2911	15.484589999999997
10317.000051047.46739	7.75371
10317.000029493.2982	11.78927
10317.000100524.62401	16.025299999999998
10317.000084428.52698	9.955749999999998
10317.000039639.25853	16.045099999999998
10317.000087036.45578	14.376359999999998
10317.000017076.3020	14.275879999999999
10317.000022033.2988	17.63134
10317.000029153.3020	11.376459999999998
10317.000016488.2919	11.97756
10317.000097058.62401	4.612119999999999
10317.000006800.2905	19.90472
10317.000028902.4583	11.93627
10317.000005965.2905	14.884390000000002
10317.000012505.32954	11.122359999999999
10317.000004286.2909	15.51416
10317.000103909.62401	12.134150000000002
10317.000030109.2982	17.64075
10317.000028843.3020	11.12172
10317.000047736.7852	19.095689999999998
10317.000054197.7852	15.4583
10317.000089512.48742	17.743180000000002
10317.000093572.56079	15.31906
