,sample_id,PC1,PC2,PC3,label
57,58338,-1.8183067539962507,2.9375871522079344,-1.6312274487722247,feces
58,18412,-1.8854216776812875,-0.9953155069797356,0.5980483370737281,feces
59,58820,-3.0010010290377833,3.0337728335144947,-1.6526097806604585,feces
60,17619,1.3539336463357057,-0.4291411123532496,0.6144063640981156,feces
61,10247,-2.2474618804825326,-0.3657821009088101,-0.4244858642985492,feces
62,97286,0.367260891546644,1.5284937468706692,-0.2640557002417081,feces
63,7234,-1.9589758254330003,-1.975928383851024,-0.1192286422540312,sebum
64,47236,-1.1912943947204615,-0.598285548954265,0.17805888026546615,feces
65,9432,5.157532800553909,-0.6289169669782029,-0.2558015536823961,feces
66,1812,-0.17957678408404856,-0.21336343125228235,-0.522834964815154,feces
67,89224,-1.616420671559707,0.4466409258753397,0.10740927485655087,feces
68,73876,9.339465307328627,-0.4125784729825305,-0.1328473366904189,feces
69,29503,-1.7662348864710316,-1.5782922273251545,-0.21839700686833488,feces
70,67507,-1.728653015728227,-0.6833439375305246,0.6604239263291404,feces
71,87672,3.1034669998952484,0.07035459833232882,-0.7185270230287577,feces
72,30688,4.3475296051712204,-0.31026772483344234,-0.21818358455283304,feces
73,46404,-2.101054328114094,2.1577284119428994,-0.7633721037955903,feces
74,1765,2.224039336190024,-0.005467577626203097,-0.38818346547115296,feces
75,34247,1.4267372223826762,0.4765788483330534,0.5915691928151928,feces
76,87641,-0.20155751527603105,-1.20446054526245,0.931274797106635,feces
77,82763,-2.594748804199213,-0.9028336877285924,-0.09659532965012303,feces
78,37524,6.612835680786363,-0.48159448427431606,-0.06614964175060857,feces
79,36919,-1.3898698235946942,0.3882228479334176,-0.07960418794528157,feces
80,94706,-1.9474573381163365,0.17329158868191927,-0.4845101728253494,feces
81,39953,-2.00812503292282,1.6394504914090355,-0.701161712238819,feces
82,20534,-1.5366413627178523,-1.1619146407705891,-0.15787141791907525,sebum
83,69828,-3.5914031839899083,3.4227516949607124,3.7295820784081712,feces
84,63328,-1.5456269976737915,-1.666510733443818,-0.4552898148125146,sebum
85,10282,2.518651812885707,-0.5331883640699242,0.2600879463783581,feces
86,23440,-1.3528790889707665,0.6494596068950084,-0.5366902226029351,feces
